dedup,empate,ventana_r2,filas_29jul,emision_parcial,corte,objetivo,zona_muerta,n,dias,modelo_pct,modelo_lo,modelo_hi,base_pct,base_lo,base_hi,ventaja_pp,ventaja_lo,ventaja_hi,p_dia,b,c,p_exacto,p_chi2,mae,mae_lo,mae_hi,mae_cero,mae_cero_lo,mae_cero_hi,dmae,dmae_lo,dmae_hi,dmae_bloque_lo,dmae_bloque_hi,n_cobertura,cobertura_pct,cobertura_lo,cobertura_hi,cobertura_dia_lo,cobertura_dia_hi
first,estricta,dentro,dentro,fuera,vivo,gap,0.25,174,27,64.94252873563218,57.5996196538994,71.63990657627407,54.59770114942529,47.18029976687252,61.816477534719326,10.344827586206897,-9.525075987841944,31.28491620111732,0.36715821044738817,62,44,0.09824250442244355,0.09870060785215035,3.079797126436782,2.076891068900425,4.596511294117645,3.2322201149425287,2.3174861431781704,4.458600354509358,-0.15242298850574718,-0.7820549542884638,0.48312400487256374,-0.7021293103448275,0.17092640804597706,174,90.22988505747126,84.91150029526895,93.8103010936596,80.8986974880126,97.12643678160919
first,estricta,dentro,dentro,fuera,vivo,retorno_sesion,0.0,227,30,61.23348017621145,54.75863604253532,67.33444908201078,53.74449339207048,47.24996998414103,60.11439172404099,7.488986784140969,-11.894535347178518,27.632537046499735,0.5051237190702325,71,54,0.15212086696676622,0.15240628395674938,3.626977533039648,2.7168905529643053,4.915817143124064,3.7414074889867837,2.8156784679487177,4.888604962728199,-0.11442995594713655,-0.5548242671517671,0.33293609105583666,-0.5373111894273127,0.1513939867841409,0,,,,,
first,estricta,dentro,dentro,fuera,vivo,retorno_sesion,0.25,174,27,66.0919540229885,58.77811810750897,72.71060244806247,55.172413793103445,47.75071062827123,62.37066383601959,10.919540229885058,-12.088345864661655,33.53302541258945,0.39040239940015,62,43,0.07848502733901816,0.07898257926378298,4.10289540229885,2.9863648350694443,5.641911506801125,4.25545632183908,3.114239161520962,5.63172853735632,-0.1525609195402298,-0.7223847723502305,0.4148475119047615,-0.6706495977011493,0.13924341954022976,0,,,,,
first,estricta,dentro,fuera,dentro,publicado,gap,0.0,237,33,67.51054852320675,61.30987008270827,73.15263500525222,56.962025316455694,50.5968117112927,63.10514814295666,10.548523206751055,-6.584847426042395,27.346938775510203,0.255936015996001,74,49,0.030046914835544586,0.030463802722688834,2.5329594936708855,2.011294298107113,3.2418355153508767,2.965733333333333,2.251920756733021,4.00761789620456,-0.4327738396624472,-0.9495042534329458,0.05435733209990748,-0.8692077848101265,-0.21666763713080178,237,92.82700421940929,88.81419259655131,95.47362105231592,85.58558558558559,97.97570850202429
first,estricta,dentro,fuera,dentro,publicado,gap,0.25,183,30,72.1311475409836,65.23121179267659,78.12105087496461,56.830601092896174,49.58661335007742,63.79371463376246,15.300546448087431,-2.793688406251961,34.35630751533742,0.13771557110722318,65,37,0.007206214620046406,0.007508702485698836,2.711631147540984,2.025538865211536,3.58653772249809,3.280762295081967,2.3510309484126988,4.539451126791143,-0.5691311475409836,-1.2151954545454549,0.0608087531017365,-1.225418825136612,-0.26820398907103826,183,91.2568306010929,86.27050006879483,94.54668095359806,82.41758241758241,97.75280898876404
first,estricta,dentro,fuera,dentro,publicado,retorno_sesion,0.0,237,33,62.0253164556962,55.70116577403286,67.96585579239785,52.742616033755276,46.39352970922972,59.00421205153519,9.282700421940929,-8.771929824561402,27.385892116182575,0.33441639590102473,71,49,0.05477979691369764,0.055234253718063835,3.50235105485232,2.8740191868490133,4.276554143371331,3.7219881856540082,2.841898286251482,4.794073048055002,-0.21963713080168773,-0.6888567615112161,0.22332121406246955,-0.7610181856540084,0.1331972784810127,0,,,,,
first,estricta,dentro,fuera,dentro,publicado,retorno_sesion,0.25,183,30,66.66666666666667,59.55596567431365,73.09203460625564,53.55191256830601,46.327247324624814,60.630523226971924,13.114754098360656,-5.883143580012649,32.98455896032104,0.23594101474631343,62,38,0.020978735677851117,0.021448220043351618,3.8912136612021855,3.165275452586207,4.7624849907247615,4.171454098360655,3.1332477368421046,5.426384389952153,-0.28024043715846997,-0.8626710000000002,0.300775480211817,-1.04643543715847,0.17075737704918037,0,,,,,
first,estricta,dentro,fuera,dentro,vivo,gap,0.0,245,34,66.93877551020408,60.82643154613086,72.52813902798184,56.734693877551024,50.474100046502066,62.78735572392829,10.204081632653061,-6.087221633085896,26.58730158730159,0.2584353911522119,74,49,0.030046914835544586,0.030463802722688834,2.500052653061224,1.9880545948305373,3.190258631782945,2.9159604081632655,2.2200861446461397,3.923010162377451,-0.41590775510204075,-0.9195093912760973,0.06330998579545445,-0.8512845918367345,-0.19117802040816329,245,93.06122448979592,89.16997474353039,95.6229697280091,85.99134862157463,98.06949806949807
first,estricta,dentro,fuera,dentro,vivo,gap,0.25,190,31,71.57894736842105,64.78745105557385,77.51516083090141,56.8421052631579,49.73267027147817,63.680353009599344,14.736842105263158,-2.7030699177438304,32.77800546448087,0.1322169457635591,65,37,0.007206214620046406,0.007508702485698836,2.6743684210526317,2.0132444714837625,3.507583188767051,3.2202157894736843,2.3248873750329055,4.4459973713778425,-0.5458473684210526,-1.1866146414911056,0.08203671403639975,-1.194195710526316,-0.2514739473684211,190,91.57894736842105,86.75969993151477,94.75021077657169,83.15029264214047,97.89473684210527
first,estricta,dentro,fuera,dentro,vivo,retorno_sesion,0.0,245,34,62.04081632653061,55.822537100064096,67.88733836828108,52.6530612244898,46.40835973338928,58.81585011556814,9.387755102040817,-7.540584415584414,26.77878661087865,0.3181704573856536,72,49,0.04505173972573706,0.045500263896358396,3.4549640816326526,2.823715519596774,4.2144795719898624,3.6446873469387753,2.802784803393904,4.705901035772165,-0.1897232653061224,-0.6476236441532258,0.2421686211789304,-0.7276232653061225,0.13369036734693862,0,,,,,
first,estricta,dentro,fuera,dentro,vivo,retorno_sesion,0.25,190,31,66.84210526315789,59.872535406938724,73.1441372849444,53.68421052631579,46.59121545624083,60.631181695108594,13.157894736842104,-5.128865979381443,31.500543478260862,0.20469882529367658,63,38,0.016505855701607366,0.016936227994398208,3.8321773684210525,3.128831505363611,4.664660150533836,4.073978421052631,3.0589105316611844,5.2653291819005075,-0.24180105263157897,-0.8095933919216048,0.31668249656910796,-0.9946714210526317,0.21069526315789464,0,,,,,
first,estricta,dentro,fuera,fuera,publicado,gap,0.0,218,28,65.13761467889908,58.59923709106675,71.15173928226535,55.5045871559633,48.86900981380376,61.94952704922609,9.63302752293578,-8.636363636363637,27.727272727272727,0.33941514621344665,70,49,0.0662913312528,0.06674355431693442,2.603209633027522,2.0318822295663055,3.374138547435362,2.980772018348624,2.2103429575892855,4.084214787080713,-0.37756238532110087,-0.9324852032364932,0.1435519545454545,-0.9090004587155963,-0.12154479357798177,218,92.20183486238533,87.86765726340286,95.07445868649272,84.375,97.76785714285714
first,estricta,dentro,fuera,fuera,publicado,gap,0.25,166,25,69.27710843373494,61.88912914600056,75.79307191632448,54.81927710843374,47.224866288274406,62.195683977306885,14.457831325301205,-4.624949589998655,34.39595899945162,0.19745063734066484,61,37,0.019690184799847767,0.020160312058240745,2.819733734939759,2.0796841171563876,3.7865509518204643,3.3180602409638555,2.331645021438604,4.7216040088918225,-0.49832650602409645,-1.2017822298116707,0.18098652329749054,-1.2833318373493974,-0.14543623493975918,166,90.36144578313252,84.91727150488832,93.97983696935479,80.3680981595092,97.50038819875776
first,estricta,dentro,fuera,fuera,publicado,retorno_sesion,0.0,218,28,64.6788990825688,58.12995085054106,70.71948078420523,53.669724770642205,47.044058125810615,60.168299782875955,11.009174311926605,-7.727272727272727,30.357142857142854,0.300674831292177,70,46,0.03227202073309247,0.03272048483157355,3.4209486238532114,2.7428513610966743,4.254384329503558,3.8041422018348623,2.8967417276785716,4.96533470959596,-0.3831935779816513,-0.8654640719696971,0.06488763911515043,-0.9631231192660551,-0.0100511697247708,0,,,,,
first,estricta,dentro,fuera,fuera,publicado,retorno_sesion,0.25,166,25,70.48192771084338,63.14328145486011,76.89405717386028,54.81927710843374,47.224866288274406,62.195683977306885,15.662650602409638,-5.027932960893855,36.477987421383645,0.18170457385653588,61,35,0.010345913082729096,0.010724437603060147,3.835747590361446,3.029180577617679,4.805744858879493,4.341025903614457,3.229065093280648,5.70268767731125,-0.505278313253012,-1.1103910736219869,0.08948706896551706,-1.3601469277108433,-0.0541389457831331,0,,,,,
first,estricta,dentro,fuera,fuera,vivo,gap,0.0,226,29,64.60176991150442,58.170653322730544,70.54479268019813,55.309734513274336,48.79289125166097,61.64908911304037,9.29203539823009,-7.52212389380531,27.027027027027028,0.33266683329167707,70,49,0.0662913312528,0.06674355431693442,2.5650495575221233,2.0206810620314837,3.325643660714286,2.926282300884956,2.1746551973684207,4.02922576385148,-0.3612327433628318,-0.9131099784482758,0.14299970059288536,-0.8712525442477875,-0.09620592920353986,226,92.47787610619469,88.28504058347319,95.25080233413755,84.51327433628319,97.82608695652173
