id,fecha,par,spread_20d_pct,z_score,explicacion,spread_simple_pct,z_simple
212,2026-08-26,Micron vs Samsung Electronics,-0.9,-0.05,Samsung Electronics le saca 0.9 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=-0.0).,-4.62,-0.64
213,2026-08-26,TSMC (Taiwán) vs UMC (ADR),-13.57,-0.9,UMC (ADR) le saca 13.6 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.9).,0.34,-0.01
214,2026-08-26,ASML (ADR) vs Tokyo Electron,18.11,1.84,ASML (ADR) le saca 18.1 pp de rendimiento propio 20d a Tokyo Electron (limpiado de índice local y moneda) — inusual vs su historia (z=+1.8).,-1.62,-0.14
215,2026-08-26,BHP Group vs Freeport-McMoRan,-10.56,-1.42,Freeport-McMoRan le saca 10.6 pp de rendimiento propio 20d a BHP Group (limpiado de índice local y moneda) — inusual vs su historia (z=-1.4).,-15.78,-1.96
216,2026-08-27,SK Hynix vs Micron,-20.13,-1.53,Micron le saca 20.1 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-1.5).,29.72,2.77
217,2026-08-27,SK Hynix vs Samsung Electronics,-14.08,-1.26,Samsung Electronics le saca 14.1 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-1.3).,2.46,-0.15
218,2026-08-27,Micron vs Samsung Electronics,6.05,0.38,Micron le saca 6.0 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.4).,-27.25,-2.2
219,2026-08-27,TSMC (Taiwán) vs UMC (ADR),-12.66,-0.83,UMC (ADR) le saca 12.7 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.8).,10.96,0.75
220,2026-08-27,ASML (ADR) vs Tokyo Electron,13.81,1.4,ASML (ADR) le saca 13.8 pp de rendimiento propio 20d a Tokyo Electron (limpiado de índice local y moneda) — inusual vs su historia (z=+1.4).,-4.79,-0.46
221,2026-08-27,BHP Group vs Freeport-McMoRan,-8.02,-1.08,Freeport-McMoRan le saca 8.0 pp de rendimiento propio 20d a BHP Group (limpiado de índice local y moneda) — inusual vs su historia (z=-1.1).,-11.42,-1.4
222,2026-08-28,SK Hynix vs Micron,-3.47,-0.28,Micron le saca 3.5 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.3).,-9.36,-0.85
223,2026-08-28,SK Hynix vs Samsung Electronics,-11.28,-1.01,Samsung Electronics le saca 11.3 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-1.0).,-0.66,-0.39
224,2026-08-28,Micron vs Samsung Electronics,-7.81,-0.48,Samsung Electronics le saca 7.8 pp de rendimiento propio 20d a Micron (limpiado de índice local y moneda) — inusual vs su historia (z=-0.5).,8.7,0.29
225,2026-08-28,TSMC (Taiwán) vs UMC (ADR),-4.35,-0.29,UMC (ADR) le saca 4.4 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.3).,-2.2,-0.2
226,2026-08-28,ASML (ADR) vs Tokyo Electron,-0.96,-0.13,Tokyo Electron le saca 1.0 pp de rendimiento propio 20d a ASML (ADR) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.1).,3.13,0.33
227,2026-08-28,BHP Group vs Freeport-McMoRan,-7.04,-0.94,Freeport-McMoRan le saca 7.0 pp de rendimiento propio 20d a BHP Group (limpiado de índice local y moneda) — inusual vs su historia (z=-0.9).,-9.45,-1.14
228,2026-08-31,SK Hynix vs Micron,-9.23,-0.72,Micron le saca 9.2 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.7).,-4.85,-0.43
229,2026-08-31,SK Hynix vs Samsung Electronics,-7.12,-0.65,Samsung Electronics le saca 7.1 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.7).,-1.88,-0.49
230,2026-08-31,Micron vs Samsung Electronics,2.1,0.14,Micron le saca 2.1 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.1).,2.96,-0.11
231,2026-08-31,TSMC (Taiwán) vs UMC (ADR),-9.24,-0.61,UMC (ADR) le saca 9.2 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.6).,-2.3,-0.2
232,2026-08-31,ASML (ADR) vs Tokyo Electron,3.3,0.31,ASML (ADR) le saca 3.3 pp de rendimiento propio 20d a Tokyo Electron (limpiado de índice local y moneda) — inusual vs su historia (z=+0.3).,2.39,0.26
233,2026-08-31,BHP Group vs Freeport-McMoRan,-5.8,-0.77,Freeport-McMoRan le saca 5.8 pp de rendimiento propio 20d a BHP Group (limpiado de índice local y moneda) — inusual vs su historia (z=-0.8).,-6.53,-0.77
234,2026-09-01,SK Hynix vs Micron,-8.26,-0.63,Micron le saca 8.3 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.6).,7.01,0.66
235,2026-09-01,SK Hynix vs Samsung Electronics,-6.34,-0.56,Samsung Electronics le saca 6.3 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.6).,-1.42,-0.46
236,2026-09-01,Micron vs Samsung Electronics,1.92,0.13,Micron le saca 1.9 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.1).,-8.43,-0.9
237,2026-09-01,TSMC (Taiwán) vs UMC (ADR),-10.61,-0.71,UMC (ADR) le saca 10.6 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-0.7).,8.3,0.56
238,2026-09-01,ASML (ADR) vs Tokyo Electron,3.65,0.34,ASML (ADR) le saca 3.6 pp de rendimiento propio 20d a Tokyo Electron (limpiado de índice local y moneda) — inusual vs su historia (z=+0.3).,1.65,0.18
239,2026-09-01,BHP Group vs Freeport-McMoRan,-3.14,-0.41,Freeport-McMoRan le saca 3.1 pp de rendimiento propio 20d a BHP Group (limpiado de índice local y moneda) — inusual vs su historia (z=-0.4).,-1.55,-0.13
240,2026-09-02,SK Hynix vs Micron,-11.68,-0.89,Micron le saca 11.7 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.9).,-5.29,-0.47
241,2026-09-02,SK Hynix vs Samsung Electronics,-3.5,-0.31,Samsung Electronics le saca 3.5 pp de rendimiento propio 20d a SK Hynix (limpiado de índice local y moneda) — inusual vs su historia (z=-0.3).,-5.37,-0.76
242,2026-09-02,Micron vs Samsung Electronics,8.18,0.52,Micron le saca 8.2 pp de rendimiento propio 20d a Samsung Electronics (limpiado de índice local y moneda) — inusual vs su historia (z=+0.5).,-0.08,-0.32
243,2026-09-02,TSMC (Taiwán) vs UMC (ADR),-15.85,-1.05,UMC (ADR) le saca 15.9 pp de rendimiento propio 20d a TSMC (Taiwán) (limpiado de índice local y moneda) — inusual vs su historia (z=-1.1).,-2.3,-0.2
244,2026-09-02,ASML (ADR) vs Tokyo Electron,6.69,0.66,ASML (ADR) le saca 6.7 pp de rendimiento propio 20d a Tokyo Electron (limpiado de índice local y moneda) — inusual vs su historia (z=+0.7).,10.13,1.03
245,2026-09-02,BHP Group vs Freeport-McMoRan,-4.31,-0.57,Freeport-McMoRan le saca 4.3 pp de rendimiento propio 20d a BHP Group (limpiado de índice local y moneda) — inusual vs su historia (z=-0.6).,-2.01,-0.18
