fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-07-29,3436.T,3,0.69,-5.337335106574171,-3.68,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-29,4063.T,4,0.37,-5.337335106574171,-1.99,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-29,6857.T,5,0.66,-5.337335106574171,-3.5,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-29,8035.T,6,0.63,-5.337335106574171,-3.38,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-29,IFX.DE,7,0.11,-5.337335106574171,-0.58,-1366,-5.335938,-5.337335,0.00139761,1,1,0
2026-07-30,000660.KS,0,0.84,8.218909642401021,6.91,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,005930.KS,1,0.64,8.218909642401021,5.28,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,2330.TW,2,0.34,8.218909642401021,2.8,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,3436.T,3,0.68,8.218909642401021,5.59,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,4063.T,4,0.35,8.218909642401021,2.85,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,6857.T,5,0.57,8.218909642401021,4.68,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,8035.T,6,0.59,8.218909642401021,4.83,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-30,IFX.DE,7,0.13,8.218909642401021,1.09,2104,8.21875,8.21891,0.00015964,2,2,0
2026-07-31,000660.KS,0,0.98,0.07446972262414187,0.07,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,005930.KS,1,0.77,0.07446972262414187,0.06,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,2330.TW,2,0.38,0.07446972262414187,0.03,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,3436.T,3,0.77,0.07446972262414187,0.06,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,4063.T,4,0.36,0.07446972262414187,0.03,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,6857.T,5,0.66,0.07446972262414187,0.05,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,8035.T,6,0.62,0.07446972262414187,0.04,19,0.074219,0.07447,0.00025097,0,0,0
2026-07-31,IFX.DE,7,0.09,0.07446972262414187,0.01,19,0.074219,0.07447,0.00025097,0,0,0
2026-08-03,2330.TW,2,0.38,1.0607412491420727,0.4,272,1.0625,1.060741,0.00175875,2,2,0
2026-08-03,3436.T,3,0.77,1.0607412491420727,0.82,272,1.0625,1.060741,0.00175875,2,2,0
2026-08-03,4063.T,4,0.35,1.0607412491420727,0.37,272,1.0625,1.060741,0.00175875,2,2,0
2026-08-03,IFX.DE,7,0.12,1.0607412491420727,0.12,272,1.0625,1.060741,0.00175875,2,2,0
2026-08-04,000660.KS,0,0.99,6.575009948269001,6.52,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,005930.KS,1,0.78,6.575009948269001,5.14,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,2330.TW,2,0.38,6.575009948269001,2.48,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,3436.T,3,0.77,6.575009948269001,5.06,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,4063.T,4,0.35,6.575009948269001,2.3,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,6857.T,5,0.63,6.575009948269001,4.14,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,8035.T,6,0.64,6.575009948269001,4.19,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-04,IFX.DE,7,0.11,6.575009948269001,0.75,1683,6.574219,6.57501,0.0007912,2,2,0
2026-08-05,000660.KS,0,0.99,-1.39851432398697,-1.38,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,005930.KS,1,0.77,-1.39851432398697,-1.08,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,2330.TW,2,0.39,-1.39851432398697,-0.54,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,3436.T,3,0.77,-1.39851432398697,-1.08,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,4063.T,4,0.35,-1.39851432398697,-0.5,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,6857.T,5,0.65,-1.39851432398697,-0.91,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,8035.T,6,0.64,-1.39851432398697,-0.89,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-05,IFX.DE,7,0.11,-1.39851432398697,-0.16,-358,-1.398438,-1.398514,7.682e-05,1,1,0
2026-08-07,000660.KS,0,1.0,2.5529780749770685,2.56,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-07,005930.KS,1,0.78,2.5529780749770685,1.99,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-07,2330.TW,2,0.39,2.5529780749770685,0.99,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-07,3436.T,3,0.79,2.5529780749770685,2.01,654,2.554688,2.552978,0.00170943,2,2,0
2026-08-07,4063.T,4,0.34,2.5529780749770685,0.87,654,2.554688,2.552978,0.00170943,2,2,0
