fecha,ticker,id_instrumento,beta,sox_estimado,apertura_sellada,puntaje_entero_q88,puntaje_entero_pp,puntaje_flotante_pp,error_abs_pp,decision_entero,decision_flotante,saturo
2026-08-03,3436.T,3,0.77,1.0607412491420727,0.82,212,0.828125,0.825683,0.00244219,2,2,0
2026-08-03,4063.T,4,0.35,1.0607412491420727,0.37,155,0.605469,0.603864,0.0016045,2,2,0
2026-08-03,IFX.DE,7,0.12,1.0607412491420727,0.12,84,0.328125,0.329073,0.00094777,0,0,0
2026-08-04,000660.KS,0,0.99,6.575009948269001,6.52,2103,8.214844,8.218506,0.00366199,2,2,0
2026-08-04,005930.KS,1,0.78,6.575009948269001,5.14,1698,6.632812,6.634612,0.00179927,2,2,0
2026-08-04,2330.TW,2,0.38,6.575009948269001,2.48,972,3.796875,3.801466,0.00459091,2,2,0
2026-08-04,3436.T,3,0.77,6.575009948269001,5.06,1577,6.160156,6.162578,0.00242166,2,2,0
2026-08-04,4063.T,4,0.35,6.575009948269001,2.3,818,3.195312,3.197932,0.00261935,2,2,0
2026-08-04,6857.T,5,0.63,6.575009948269001,4.14,1237,4.832031,4.835793,0.0037615,2,2,0
2026-08-04,8035.T,6,0.64,6.575009948269001,4.19,1202,4.695312,4.698401,0.00308847,2,2,0
2026-08-04,IFX.DE,7,0.11,6.575009948269001,0.75,266,1.039062,1.041325,0.0022623,2,2,0
2026-08-05,000660.KS,0,0.99,-1.39851432398697,-1.38,-1220,-4.765625,-4.764428,0.00119691,1,1,0
2026-08-05,005930.KS,1,0.77,-1.39851432398697,-1.08,-1121,-4.378906,-4.379903,0.00099695,1,1,0
2026-08-05,2330.TW,2,0.39,-1.39851432398697,-0.54,-966,-3.773438,-3.771616,0.00182148,1,1,0
2026-08-05,3436.T,3,0.77,-1.39851432398697,-1.08,-1038,-4.054688,-4.053879,0.00080867,1,1,0
2026-08-05,4063.T,4,0.35,-1.39851432398697,-0.5,-824,-3.21875,-3.21733,0.00141982,1,1,0
2026-08-05,6857.T,5,0.65,-1.39851432398697,-0.91,-868,-3.390625,-3.387712,0.00291316,1,1,0
2026-08-05,8035.T,6,0.64,-1.39851432398697,-0.89,-800,-3.125,-3.124554,0.00044593,1,1,0
2026-08-05,IFX.DE,7,0.11,-1.39851432398697,-0.16,-547,-2.136719,-2.134169,0.00254991,1,1,0
2026-08-07,000660.KS,0,1.0,2.5529780749770685,2.56,909,3.550781,3.551696,0.00091437,2,2,0
2026-08-07,005930.KS,1,0.78,2.5529780749770685,1.99,798,3.117188,3.115729,0.00145856,2,2,0
2026-08-07,2330.TW,2,0.39,2.5529780749770685,0.99,575,2.246094,2.245756,0.00033777,2,2,0
2026-08-07,3436.T,3,0.79,2.5529780749770685,2.01,805,3.144531,3.143463,0.00106817,2,2,0
2026-08-07,4063.T,4,0.34,2.5529780749770685,0.87,479,1.871094,1.871139,4.506e-05,2,2,0
2026-08-07,6857.T,5,0.67,2.5529780749770685,1.71,663,2.589844,2.590137,0.00029368,2,2,0
2026-08-07,8035.T,6,0.65,2.5529780749770685,1.66,618,2.414062,2.415594,0.00153123,2,2,0
2026-08-07,IFX.DE,7,0.09,2.5529780749770685,0.24,221,0.863281,0.862442,0.00083938,2,2,0
2026-08-10,000660.KS,0,1.0,-2.9388304959289413,-2.94,-1251,-4.886719,-4.886736,1.704e-05,1,1,0
2026-08-10,005930.KS,1,0.78,-2.9388304959289413,-2.28,-1073,-4.191406,-4.192058,0.00065195,1,1,0
2026-08-10,2330.TW,2,0.39,-2.9388304959289413,-1.14,-768,-3.0,-2.997779,0.00222057,1,1,0
2026-08-10,3436.T,3,0.78,-2.9388304959289413,-2.3,-1017,-3.972656,-3.972304,0.00035195,1,1,0
2026-08-10,4063.T,4,0.34,-2.9388304959289413,-1.01,-642,-2.507812,-2.5076,0.00021264,1,1,0
2026-08-10,6857.T,5,0.68,-2.9388304959289413,-1.99,-854,-3.335938,-3.335183,0.00075428,1,1,0
2026-08-10,8035.T,6,0.65,-2.9388304959289413,-1.92,-788,-3.078125,-3.075399,0.00272572,1,1,0
2026-08-10,IFX.DE,7,0.09,-2.9388304959289413,-0.27,-322,-1.257812,-1.258035,0.00022269,1,1,0
