fecha,ticker,pred,sigma,alpha,n_train,gap_pct
2026-07-15,3436.T,-1.34,5.6491885143570535,,,-5.4001
2026-07-15,4063.T,-0.65,2.832397003745318,,,-3.1079
2026-07-15,6857.T,-1.37,4.2446941323345815,,,-2.6658
2026-07-15,8035.T,-1.22,3.3941947565543065,,,-4.0409
2026-07-15,IFX.DE,-0.15,3.760923845193508,,,0.1337
2026-07-16,2330.TW,-1.42,1.8882646691635454,,,-3.8462
2026-07-16,3436.T,-2.82,5.696004993757803,,,-1.5171
2026-07-16,4063.T,-1.37,2.8480024968789013,,,-2.0514
2026-07-16,6857.T,-2.85,4.252496878901373,,,-5.0607
2026-07-16,8035.T,-2.55,3.40980024968789,,,-5.4874
2026-07-16,IFX.DE,-0.23,3.7999375780274653,,,-5.5324
2026-07-17,000660.KS,-1.44,5.83645443196005,,,-5.266
2026-07-17,005930.KS,-1.12,5.071785268414482,,,-5.4902
2026-07-17,2330.TW,-0.58,1.9818976279650435,,,0.4367
2026-07-17,3436.T,-1.15,5.813046192259675,,,0.0255
2026-07-17,4063.T,-0.53,2.8480024968789013,,,0.6707
2026-07-17,6857.T,-1.11,4.268102372034956,,,1.8179
2026-07-17,8035.T,-1.01,3.4488139825218473,,,-1.1521
2026-07-17,IFX.DE,-0.1,3.815543071161048,,,0.8483
2026-07-21,000660.KS,4.64,5.805243445692884,,,7.6797
2026-07-21,005930.KS,3.63,5.095193508114856,,,6.5637
2026-07-21,3436.T,3.65,5.805243445692884,,,5.1026
2026-07-21,4063.T,1.69,2.8480024968789013,,,0.3886
2026-07-21,6857.T,3.6,4.260299625468164,,,4.2187
2026-07-21,8035.T,3.23,3.4332084893882646,,,4.5065
2026-07-22,000660.KS,0.38,5.813046192259675,,,4.3716
2026-07-22,005930.KS,0.3,5.102996254681647,,,3.263
2026-07-22,2330.TW,0.15,2.005305867665418,,,-0.625
2026-07-22,3436.T,0.3,5.8286516853932575,,,4.8877
2026-07-22,4063.T,0.14,2.6919475655430714,,,1.4841
2026-07-22,6857.T,0.3,4.275905118601748,,,3.5322
2026-07-22,8035.T,0.26,3.4488139825218473,,,0.7732
2026-07-22,IFX.DE,0.03,3.838951310861423,,,-4.1547
2026-07-23,000660.KS,-0.43,5.610174781523096,,,-1.3028
2026-07-23,005930.KS,-0.33,4.845505617977528,,,-1.4815
2026-07-23,2330.TW,-0.17,1.927278401997503,,,-2.079
2026-07-23,3436.T,-0.35,5.758426966292134,,,-1.8697
2026-07-23,4063.T,-0.16,2.606117353308364,,,-1.9656
2026-07-23,6857.T,-0.34,4.197877652933832,,,-2.2727
2026-07-23,8035.T,-0.31,3.2537453183520597,,,-1.5163
2026-07-23,IFX.DE,-0.02,3.760923845193508,,,-1.6644
2026-07-24,000660.KS,-3.7,5.8520599250936325,,,3.1268
2026-07-24,005930.KS,-2.94,5.142009987515605,,,3.006
2026-07-24,2330.TW,-1.46,1.989700374531835,,,-0.8511
2026-07-24,3436.T,-2.89,5.83645443196005,,,3.8642
2026-07-24,4063.T,-1.41,2.6919475655430714,,,-3.4169
2026-07-24,6857.T,-2.85,4.2915106117353305,,,1.5719
2026-07-24,8035.T,-2.6,3.40980024968789,,,1.5959
2026-07-24,IFX.DE,-0.35,3.8623595505617976,,,1.0868
2026-07-27,000660.KS,-1.83,5.859862671660424,,,-8.4802
2026-07-27,005930.KS,-1.47,5.1498127340823965,,,-6.1024
2026-07-27,2330.TW,-0.76,1.9975031210986267,,,-3.4043
2026-07-27,3436.T,-1.45,5.859862671660424,,,-9.9947
2026-07-27,4063.T,-0.79,2.7621722846441945,,,-2.3755
2026-07-27,6857.T,-1.46,4.283707865168539,,,-6.6949
2026-07-27,8035.T,-1.32,3.40980024968789,,,-9.9841
2026-07-27,IFX.DE,-0.18,3.870162297128589,,,-2.0654
2026-07-28,000660.KS,-3.76,5.945692883895131,,,1.0968
2026-07-28,005930.KS,-3.0,5.1966292134831455,,,2.9545
2026-07-28,2330.TW,-1.54,2.005305867665418,,,-0.8772
2026-07-28,3436.T,-3.05,6.023720349563046,,,0.0318
2026-07-28,4063.T,-1.63,2.785580524344569,,,-0.6301
2026-07-28,6857.T,-2.99,4.3149188514357055,,,1.9208
2026-07-28,8035.T,-2.73,3.5112359550561796,,,-3.5765
2026-07-28,IFX.DE,-0.45,3.8779650436953803,,,-1.731
2026-07-29,000660.KS,-4.59,5.976903870162297,,,28.3661
2026-07-29,005930.KS,-3.63,5.204431960049937,,,24.1546
2026-07-29,2330.TW,-1.87,2.01310861423221,,,6.576
2026-07-29,3436.T,-3.68,6.031523096129837,,,17.5214
2026-07-29,4063.T,-1.99,2.7777777777777777,,,2.7971
2026-07-29,6857.T,-3.5,4.322721598002497,,,16.4847
2026-07-29,8035.T,-3.38,3.581460674157303,,,13.3997
2026-07-29,IFX.DE,-0.58,3.9169787765293376,,,-0.1468
2026-07-30,000660.KS,6.91,5.969101123595506,,,28.3661
2026-07-30,005930.KS,5.28,5.212234706616728,,,24.1546
2026-07-30,2330.TW,2.8,2.0209113607990012,,,6.576
2026-07-30,3436.T,5.59,6.039325842696629,,,17.5214
2026-07-30,4063.T,2.85,2.832397003745318,,,2.7971
2026-07-30,6857.T,4.68,4.595817727840199,,,16.4847
