fecha,ticker,pred,sigma,alpha,n_train,gap_pct
2026-07-15,000660.KS,-2.4669692698029517,1.5359206021997311,10.0,1572,-8.6455
2026-07-15,005930.KS,-1.2134587564724457,1.204072504545887,100.0,1572,-5.3667
2026-07-15,2330.TW,-1.3623597280447186,1.1093235672239552,10.0,1588,-0.4098
2026-07-15,3436.T,-1.9596165557436571,1.7141450108272291,30.0,1554,-5.4001
2026-07-15,4063.T,-0.5160693872650383,1.2532126452439407,100.0,1554,-3.1079
2026-07-15,6857.T,-1.9909004879823626,1.6841410863918926,0.03,1554,-2.6658
2026-07-15,8035.T,-1.9027902801067533,1.4321832277568396,3.0,1554,-4.0409
2026-07-15,IFX.DE,-0.14383314705000533,1.5643773844313391,300.0,1683,0.1337
2026-07-16,2330.TW,-1.5632482451288559,1.1093235672239552,10.0,1588,-3.8462
2026-07-16,3436.T,-2.0787031362351986,1.7141450108272291,30.0,1554,-1.5171
2026-07-16,4063.T,-0.8943487207443276,1.2532126452439407,100.0,1554,-2.0514
2026-07-16,6857.T,-2.2651420971530625,1.6841410863918926,0.03,1554,-5.0607
2026-07-16,8035.T,-2.117608669605912,1.4321832277568396,3.0,1554,-5.4874
2026-07-16,IFX.DE,-0.3315379876390012,1.5643773844313391,300.0,1683,-5.5324
2026-07-17,000660.KS,0.029155447707041204,1.5359206021997311,10.0,1572,-5.266
2026-07-17,005930.KS,0.16170316615650668,1.204072504545887,100.0,1572,-5.4902
2026-07-17,2330.TW,0.0950249035077873,1.1093235672239552,10.0,1588,0.4367
2026-07-17,3436.T,0.3397116963689829,1.7141450108272291,30.0,1554,0.0255
2026-07-17,4063.T,0.4601029288401411,1.2532126452439407,100.0,1554,0.6707
2026-07-17,6857.T,0.46211359316648454,1.6841410863918926,0.03,1554,1.8179
2026-07-17,8035.T,0.2965766011107518,1.4321832277568396,3.0,1554,-1.1521
2026-07-17,IFX.DE,0.1742183432781787,1.5643773844313391,300.0,1683,0.8483
2026-07-21,000660.KS,2.1420997770299395,1.5607253712406433,10.0,1575,7.6797
2026-07-21,005930.KS,1.0984860959459786,1.219766538345319,100.0,1575,6.5637
2026-07-21,3436.T,1.5901394316873168,1.7140849006675536,30.0,1558,5.1026
2026-07-21,4063.T,0.5625692077083022,1.2538565037911826,100.0,1558,0.3886
2026-07-21,6857.T,2.458222320415091,1.6836594753821923,0.03,1558,4.2187
2026-07-21,8035.T,2.475179916108602,1.4338922336032145,3.0,1558,4.5065
2026-07-22,000660.KS,0.9838295264006951,1.5607253712406433,10.0,1575,4.3716
2026-07-22,005930.KS,0.492448547835405,1.219766538345319,100.0,1575,3.263
2026-07-22,2330.TW,0.4917303363886475,1.1094693888993596,10.0,1593,-0.625
2026-07-22,3436.T,0.6736195246695326,1.7140849006675536,30.0,1558,4.8877
2026-07-22,4063.T,0.5486092917334986,1.2538565037911826,100.0,1558,1.4841
2026-07-22,6857.T,1.3039668090089789,1.6836594753821923,0.03,1558,3.5322
2026-07-22,8035.T,1.2446646306779137,1.4338922336032145,3.0,1558,0.7732
2026-07-22,IFX.DE,0.24598159592920607,1.5668401263800384,300.0,1688,-4.1547
2026-07-23,000660.KS,-1.3404974185022822,1.5607253712406433,10.0,1575,-1.3028
2026-07-23,005930.KS,-0.928361224151736,1.219766538345319,100.0,1575,-1.4815
2026-07-23,2330.TW,-0.6588282198335854,1.1094693888993596,10.0,1593,-2.079
2026-07-23,3436.T,-1.1490753946613166,1.7140849006675536,30.0,1558,-1.8697
2026-07-23,4063.T,-0.9350431923703806,1.2538565037911826,100.0,1558,-1.9656
2026-07-23,6857.T,-0.9465092038722985,1.6836594753821923,0.03,1558,-2.2727
2026-07-23,8035.T,-0.7738872571078377,1.4338922336032145,3.0,1558,-1.5163
2026-07-23,IFX.DE,-0.11151701792742932,1.5668401263800384,300.0,1688,-1.6644
2026-07-24,000660.KS,-0.3779043169124421,1.5607253712406433,10.0,1575,3.1268
2026-07-24,005930.KS,0.06749896486128476,1.219766538345319,100.0,1575,3.006
2026-07-24,2330.TW,-0.8875170014029609,1.1094693888993596,10.0,1593,-0.8511
2026-07-24,3436.T,-0.9363450197101424,1.7140849006675536,30.0,1558,3.8642
2026-07-24,4063.T,0.1987730821941492,1.2538565037911826,100.0,1558,-3.4169
2026-07-24,6857.T,-1.288157804668526,1.6836594753821923,0.03,1558,1.5719
2026-07-24,8035.T,-1.5368731160835323,1.4338922336032145,3.0,1558,1.5959
2026-07-24,IFX.DE,-0.4715772661392833,1.5668401263800384,300.0,1688,1.0868
